word,associates,part_no,scores,ospan,math,strict,ravens
racket,3,p66,10,49,99,28,11
assist,3,p67,6,73,96,63,12
bashful,4,p67,3,73,96,63,12
before,4,p67,1,73,96,63,12
beginning,4,p67,2,73,96,63,12
blow,23,p67,6,73,96,63,12
body,31,p67,8,73,96,63,12
bouquet,3,p67,4,73,96,63,12
break,26,p67,2,73,96,63,12
bum,21,p67,3,73,96,63,12
car,25,p67,3,73,96,63,12
casual,20,p67,4,73,96,63,12
challenge,21,p67,3,73,96,63,12
chauffeur,5,p67,1,73,96,63,12
chowder,4,p67,2,73,96,63,12
cinema,4,p67,1,73,96,63,12
closed,5,p67,1,73,96,63,12
cloth,21,p67,2,73,96,63,12
common,23,p67,1,73,96,63,12
computer,33,p67,6,73,96,63,12
corpse,3,p67,5,73,96,63,12
dancer,23,p67,5,73,96,63,12
dangerous,22,p67,4,73,96,63,12
difficult,3,p67,2,73,96,63,12
melody,5,p67,5,73,96,63,12
meow,3,p67,4,73,96,63,12
organize,23,p67,2,73,96,63,12
patience,21,p67,1,73,96,63,12
peaceful,20,p67,9,73,96,63,12
pupil,4,p67,2,73,96,63,12
racket,3,p67,3,73,96,63,12
assist,3,p69,2,69,85,54,6
bashful,4,p69,2,69,85,54,6
before,4,p69,1,69,85,54,6
beginning,4,p69,1,69,85,54,6
blow,23,p69,2,69,85,54,6
body,31,p69,2,69,85,54,6
bouquet,3,p69,2,69,85,54,6
break,26,p69,2,69,85,54,6
bum,21,p69,2,69,85,54,6
car,25,p69,1,69,85,54,6
casual,20,p69,2,69,85,54,6
challenge,21,p69,1,69,85,54,6
chauffeur,5,p69,1,69,85,54,6
chowder,4,p69,2,69,85,54,6
cinema,4,p69,2,69,85,54,6
closed,5,p69,2,69,85,54,6
cloth,21,p69,2,69,85,54,6
common,23,p69,3,69,85,54,6
computer,33,p69,2,69,85,54,6
corpse,3,p69,2,69,85,54,6
dancer,23,p69,3,69,85,54,6
dangerous,22,p69,2,69,85,54,6
difficult,3,p69,1,69,85,54,6
melody,5,p69,2,69,85,54,6
meow,3,p69,1,69,85,54,6
organize,23,p69,2,69,85,54,6
patience,21,p69,2,69,85,54,6
peaceful,20,p69,1,69,85,54,6
pupil,4,p69,2,69,85,54,6
racket,3,p69,2,69,85,54,6
assist,3,p70,4,67,97,50,14
bashful,4,p70,3,67,97,50,14
before,4,p70,10,67,97,50,14
beginning,4,p70,3,67,97,50,14
blow,23,p70,8,67,97,50,14
body,31,p70,4,67,97,50,14
bouquet,3,p70,1,67,97,50,14
break,26,p70,6,67,97,50,14
bum,21,p70,2,67,97,50,14
car,25,p70,6,67,97,50,14
casual,20,p70,3,67,97,50,14
challenge,21,p70,4,67,97,50,14
chauffeur,5,p70,3,67,97,50,14
chowder,4,p70,1,67,97,50,14
cinema,4,p70,1,67,97,50,14
closed,5,p70,4,67,97,50,14
cloth,21,p70,5,67,97,50,14
common,23,p70,5,67,97,50,14
computer,33,p70,2,67,97,50,14
corpse,3,p70,2,67,97,50,14
dancer,23,p70,3,67,97,50,14
dangerous,22,p70,5,67,97,50,14
difficult,3,p70,4,67,97,50,14
melody,5,p70,2,67,97,50,14
meow,3,p70,2,67,97,50,14
organize,23,p70,2,67,97,50,14
patience,21,p70,3,67,97,50,14
peaceful,20,p70,5,67,97,50,14
pupil,4,p70,2,67,97,50,14
racket,3,p70,4,67,97,50,14
assist,3,p71,3,61,97,33,17
bashful,4,p71,2,61,97,33,17
before,4,p71,1,61,97,33,17
beginning,4,p71,1,61,97,33,17
blow,23,p71,3,61,97,33,17
body,31,p71,2,61,97,33,17
bouquet,3,p71,1,61,97,33,17
break,26,p71,2,61,97,33,17
bum,21,p71,3,61,97,33,17
car,25,p71,3,61,97,33,17
casual,20,p71,1,61,97,33,17
challenge,21,p71,1,61,97,33,17
chauffeur,5,p71,2,61,97,33,17
chowder,4,p71,4,61,97,33,17
cinema,4,p71,1,61,97,33,17
closed,5,p71,2,61,97,33,17
cloth,21,p71,3,61,97,33,17
common,23,p71,2,61,97,33,17
computer,33,p71,1,61,97,33,17
corpse,3,p71,1,61,97,33,17
dancer,23,p71,2,61,97,33,17
dangerous,22,p71,3,61,97,33,17
difficult,3,p71,1,61,97,33,17
melody,5,p71,4,61,97,33,17
meow,3,p71,2,61,97,33,17
organize,23,p71,1,61,97,33,17
patience,21,p71,2,61,97,33,17
peaceful,20,p71,2,61,97,33,17
pupil,4,p71,2,61,97,33,17
racket,3,p71,1,61,97,33,17
assist,3,p72,2,31,95,9,12
bashful,4,p72,3,31,95,9,12
before,4,p72,1,31,95,9,12
beginning,4,p72,1,31,95,9,12
blow,23,p72,3,31,95,9,12
body,31,p72,2,31,95,9,12
bouquet,3,p72,2,31,95,9,12
break,26,p72,3,31,95,9,12
bum,21,p72,2,31,95,9,12
car,25,p72,1,31,95,9,12
casual,20,p72,2,31,95,9,12
challenge,21,p72,4,31,95,9,12
chauffeur,5,p72,3,31,95,9,12
chowder,4,p72,7,31,95,9,12
cinema,4,p72,1,31,95,9,12
closed,5,p72,2,31,95,9,12
cloth,21,p72,2,31,95,9,12
common,23,p72,1,31,95,9,12
computer,33,p72,1,31,95,9,12
corpse,3,p72,1,31,95,9,12
dancer,23,p72,4,31,95,9,12
dangerous,22,p72,4,31,95,9,12
difficult,3,p72,2,31,95,9,12
melody,5,p72,3,31,95,9,12
meow,3,p72,1,31,95,9,12
organize,23,p72,3,31,95,9,12
patience,21,p72,2,31,95,9,12
peaceful,20,p72,4,31,95,9,12
pupil,4,p72,2,31,95,9,12
racket,3,p72,4,31,95,9,12
assist,3,p77,3,46,97,25,23
bashful,4,p77,2,46,97,25,23
before,4,p77,1,46,97,25,23
beginning,4,p77,2,46,97,25,23
blow,23,p77,8,46,97,25,23
body,31,p77,10,46,97,25,23
bouquet,3,p77,3,46,97,25,23
break,26,p77,6,46,97,25,23
bum,21,p77,3,46,97,25,23
car,25,p77,15,46,97,25,23
casual,20,p77,6,46,97,25,23
challenge,21,p77,8,46,97,25,23
chauffeur,5,p77,4,46,97,25,23
chowder,4,p77,3,46,97,25,23
cinema,4,p77,4,46,97,25,23
closed,5,p77,4,46,97,25,23
cloth,21,p77,5,46,97,25,23
common,23,p77,10,46,97,25,23
computer,33,p77,6,46,97,25,23
corpse,3,p77,3,46,97,25,23
dancer,23,p77,4,46,97,25,23
dangerous,22,p77,6,46,97,25,23
difficult,3,p77,4,46,97,25,23
melody,5,p77,2,46,97,25,23
meow,3,p77,6,46,97,25,23
organize,23,p77,2,46,97,25,23
patience,21,p77,3,46,97,25,23
peaceful,20,p77,2,46,97,25,23
pupil,4,p77,7,46,97,25,23
racket,3,p77,5,46,97,25,23
assist,3,p78,4,70,96,54,5
bashful,4,p78,2,70,96,54,5
before,4,p78,1,70,96,54,5
beginning,4,p78,2,70,96,54,5
blow,23,p78,3,70,96,54,5
body,31,p78,1,70,96,54,5
bouquet,3,p78,1,70,96,54,5
break,26,p78,3,70,96,54,5
bum,21,p78,2,70,96,54,5
car,25,p78,1,70,96,54,5
casual,20,p78,5,70,96,54,5
challenge,21,p78,2,70,96,54,5
chauffeur,5,p78,1,70,96,54,5
chowder,4,p78,3,70,96,54,5
cinema,4,p78,1,70,96,54,5
closed,5,p78,1,70,96,54,5
cloth,21,p78,2,70,96,54,5
common,23,p78,1,70,96,54,5
computer,33,p78,2,70,96,54,5
corpse,3,p78,3,70,96,54,5
dancer,23,p78,4,70,96,54,5
dangerous,22,p78,2,70,96,54,5
difficult,3,p78,3,70,96,54,5
melody,5,p78,1,70,96,54,5
meow,3,p78,2,70,96,54,5
organize,23,p78,4,70,96,54,5
patience,21,p78,2,70,96,54,5
peaceful,20,p78,3,70,96,54,5
pupil,4,p78,5,70,96,54,5
racket,3,p78,3,70,96,54,5
assist,3,p80,15,74,97,68,18
bashful,4,p80,20,74,97,68,18
before,4,p80,10,74,97,68,18
beginning,4,p80,15,74,97,68,18
blow,23,p80,20,74,97,68,18
body,31,p80,20,74,97,68,18
bouquet,3,p80,5,74,97,68,18
break,26,p80,20,74,97,68,18
bum,21,p80,20,74,97,68,18
car,25,p80,20,74,97,68,18
casual,20,p80,15,74,97,68,18
challenge,21,p80,15,74,97,68,18
chauffeur,5,p80,25,74,97,68,18
chowder,4,p80,10,74,97,68,18
cinema,4,p80,10,74,97,68,18
closed,5,p80,10,74,97,68,18
cloth,21,p80,15,74,97,68,18
common,23,p80,10,74,97,68,18
computer,33,p80,10,74,97,68,18
corpse,3,p80,10,74,97,68,18
dancer,23,p80,20,74,97,68,18
dangerous,22,p80,10,74,97,68,18
difficult,3,p80,10,74,97,68,18
melody,5,p80,10,74,97,68,18
meow,3,p80,10,74,97,68,18
organize,23,p80,25,74,97,68,18
patience,21,p80,10,74,97,68,18
peaceful,20,p80,15,74,97,68,18
pupil,4,p80,5,74,97,68,18
racket,3,p80,10,74,97,68,18
assist,3,p81,3,53,89,17,13
bashful,4,p81,10,53,89,17,13
before,4,p81,1,53,89,17,13
beginning,4,p81,4,53,89,17,13
blow,23,p81,3,53,89,17,13
body,31,p81,6,53,89,17,13
bouquet,3,p81,4,53,89,17,13
break,26,p81,8,53,89,17,13
bum,21,p81,4,53,89,17,13
car,25,p81,12,53,89,17,13
casual,20,p81,4,53,89,17,13
challenge,21,p81,8,53,89,17,13
chauffeur,5,p81,2,53,89,17,13
chowder,4,p81,1,53,89,17,13
cinema,4,p81,3,53,89,17,13
closed,5,p81,3,53,89,17,13
cloth,21,p81,8,53,89,17,13
common,23,p81,6,53,89,17,13
computer,33,p81,3,53,89,17,13
corpse,3,p81,7,53,89,17,13
dancer,23,p81,1,53,89,17,13
dangerous,22,p81,4,53,89,17,13
difficult,3,p81,5,53,89,17,13
melody,5,p81,3,53,89,17,13
meow,3,p81,1,53,89,17,13
organize,23,p81,4,53,89,17,13
patience,21,p81,4,53,89,17,13
peaceful,20,p81,12,53,89,17,13
pupil,4,p81,2,53,89,17,13
racket,3,p81,6,53,89,17,13
assist,3,p83,6,64,100,44,23
bashful,4,p83,4,64,100,44,23
before,4,p83,1,64,100,44,23
beginning,4,p83,2,64,100,44,23
blow,23,p83,5,64,100,44,23
body,31,p83,5,64,100,44,23
bouquet,3,p83,16,64,100,44,23
break,26,p83,4,64,100,44,23
bum,21,p83,1,64,100,44,23
car,25,p83,15,64,100,44,23
casual,20,p83,30,64,100,44,23
challenge,21,p83,3,64,100,44,23
chauffeur,5,p83,3,64,100,44,23
chowder,4,p83,3,64,100,44,23
cinema,4,p83,1,64,100,44,23
closed,5,p83,1,64,100,44,23
cloth,21,p83,4,64,100,44,23
common,23,p83,4,64,100,44,23
computer,33,p83,20,64,100,44,23
corpse,3,p83,5,64,100,44,23
dancer,23,p83,4,64,100,44,23
dangerous,22,p83,26,64,100,44,23
difficult,3,p83,1,64,100,44,23
melody,5,p83,4,64,100,44,23
meow,3,p83,1,64,100,44,23
organize,23,p83,9,64,100,44,23
patience,21,p83,2,64,100,44,23
peaceful,20,p83,3,64,100,44,23
pupil,4,p83,5,64,100,44,23
racket,3,p83,20,64,100,44,23
assist,3,p85,2,68,96,68,14
bashful,4,p85,3,68,96,68,14
before,4,p85,4,68,96,68,14
beginning,4,p85,3,68,96,68,14
blow,23,p85,2,68,96,68,14
body,31,p85,3,68,96,68,14
bouquet,3,p85,3,68,96,68,14
break,26,p85,5,68,96,68,14
bum,21,p85,2,68,96,68,14
car,25,p85,5,68,96,68,14
casual,20,p85,3,68,96,68,14
challenge,21,p85,4,68,96,68,14
chauffeur,5,p85,3,68,96,68,14
chowder,4,p85,4,68,96,68,14
cinema,4,p85,3,68,96,68,14
closed,5,p85,2,68,96,68,14
cloth,21,p85,3,68,96,68,14
common,23,p85,3,68,96,68,14
computer,33,p85,2,68,96,68,14
corpse,3,p85,2,68,96,68,14
dancer,23,p85,2,68,96,68,14
dangerous,22,p85,3,68,96,68,14
difficult,3,p85,2,68,96,68,14
melody,5,p85,4,68,96,68,14
meow,3,p85,1,68,96,68,14
organize,23,p85,3,68,96,68,14
patience,21,p85,2,68,96,68,14
peaceful,20,p85,5,68,96,68,14
pupil,4,p85,4,68,96,68,14
racket,3,p85,2,68,96,68,14
assist,3,p86,4,25,100,4,22
bashful,4,p86,6,25,100,4,22
before,4,p86,25,25,100,4,22
beginning,4,p86,13,25,100,4,22
blow,23,p86,30,25,100,4,22
body,31,p86,19,25,100,4,22
bouquet,3,p86,6,25,100,4,22
break,26,p86,20,25,100,4,22
bum,21,p86,5,25,100,4,22
car,25,p86,5,25,100,4,22
casual,20,p86,9,25,100,4,22
challenge,21,p86,16,25,100,4,22
chauffeur,5,p86,2,25,100,4,22
chowder,4,p86,8,25,100,4,22
cinema,4,p86,10,25,100,4,22
closed,5,p86,15,25,100,4,22
cloth,21,p86,20,25,100,4,22
common,23,p86,10,25,100,4,22
computer,33,p86,2,25,100,4,22
corpse,3,p86,3,25,100,4,22
dancer,23,p86,7,25,100,4,22
dangerous,22,p86,9,25,100,4,22
difficult,3,p86,19,25,100,4,22
melody,5,p86,19,25,100,4,22
meow,3,p86,28,25,100,4,22
organize,23,p86,8,25,100,4,22
patience,21,p86,29,25,100,4,22
peaceful,20,p86,8,25,100,4,22
pupil,4,p86,3,25,100,4,22
racket,3,p86,1,25,100,4,22
assist,3,p88,4,70,97,55,18
bashful,4,p88,3,70,97,55,18
before,4,p88,20,70,97,55,18
beginning,4,p88,20,70,97,55,18
blow,23,p88,7,70,97,55,18
body,31,p88,9,70,97,55,18
bouquet,3,p88,10,70,97,55,18
break,26,p88,13,70,97,55,18
bum,21,p88,6,70,97,55,18
car,25,p88,10,70,97,55,18
casual,20,p88,10,70,97,55,18
challenge,21,p88,3,70,97,55,18
chauffeur,5,p88,2,70,97,55,18
chowder,4,p88,10,70,97,55,18
cinema,4,p88,5,70,97,55,18
closed,5,p88,15,70,97,55,18
cloth,21,p88,12,70,97,55,18
common,23,p88,10,70,97,55,18
computer,33,p88,5,70,97,55,18
corpse,3,p88,10,70,97,55,18
dancer,23,p88,7,70,97,55,18
dangerous,22,p88,100,70,97,55,18
difficult,3,p88,10,70,97,55,18
melody,5,p88,100,70,97,55,18
meow,3,p88,3,70,97,55,18
organize,23,p88,14,70,97,55,18
patience,21,p88,5,70,97,55,18
peaceful,20,p88,5,70,97,55,18
pupil,4,p88,8,70,97,55,18
racket,3,p88,13,70,97,55,18
